year,county,zone_label,zone_code,seats,min_win_votes,min_win_cand,min_win_party,max_lose_votes,max_lose_cand,margin,n_cand
2022,彰化縣,彰化縣 二林鎮・大城鄉・竹塘鄉・芳苑鄉,,5,8215,陳一惇,中國國民黨,7395,謝淑如,820,7
2022,彰化縣,彰化縣 二水鄉・田中鎮・社頭鄉,,4,7986,許書維,民主進步黨,6357,劉景滄,1629,7
2022,彰化縣,彰化縣 伸港鄉・和美鎮・線西鄉,,6,7030,施嘉華,中國國民黨,6481,蕭文雄,549,8
2022,彰化縣,彰化縣 北斗鎮・埤頭鄉・溪州鄉・田尾鄉,,5,7580,劉淑芳,中國國民黨,7485,江熊一楓,95,8
2022,彰化縣,彰化縣 員林市・大村鄉・永靖鄉,,8,7649,曹嘉豪,中國國民黨,7387,賴澤民,262,14
2022,彰化縣,彰化縣 埔心鄉・埔鹽鄉・溪湖鎮,,5,7531,陳重嘉,台灣民眾黨,6215,歐陽蓁珠,1316,7
2022,彰化縣,彰化縣 彰化市・芬園鄉・花壇鄉,,13,5809,白玉如,中國國民黨,5801,吳韋達,8,24
2022,彰化縣,彰化縣 福興鄉・秀水鄉・鹿港鎮,,7,8563,黃俊源,中國國民黨,7984,葉國雄,579,9
2014,彰化縣,彰化縣第01選區,10007-01,13,6538,黄育寬,民主進步黨,6166,林維浩,372,23
2018,彰化縣,彰化縣第01選區,10007-01,13,5965,林茂明,無黨籍,5581,黄建閎,384,22
2014,彰化縣,彰化縣第02選區,10007-02,7,9804,葉國雄,民主進步黨,7908,楊竣程,1896,10
2018,彰化縣,彰化縣第02選區,10007-02,7,9497,陳秀寳,民主進步黨,7318,林士堅,2179,10
2014,彰化縣,彰化縣第03選區,10007-03,6,7204,蕭文雄,中國國民黨,6625,王國忠,579,9
2018,彰化縣,彰化縣第03選區,10007-03,6,9613,尤瑞春,民主進步黨,7265,王國忠,2348,8
2014,彰化縣,彰化縣第04選區,10007-04,8,7074,葉麗娟,中國國民黨,6653,江瑞演,421,14
2018,彰化縣,彰化縣第04選區,10007-04,8,6984,凃俊任,中國國民黨,6591,江吉存,393,13
2014,彰化縣,彰化縣第05選區,10007-05,5,8589,陳重嘉,無黨籍,7776,張春洋,813,8
2018,彰化縣,彰化縣第05選區,10007-05,5,7570,陳重嘉,無黨籍,7283,李清木,287,8
2014,彰化縣,彰化縣第06選區,10007-06,3,10159,劉景滄,無黨籍,9230,鄭俊雄,929,7
2018,彰化縣,彰化縣第06選區,10007-06,3,10820,許書維,民主進步黨,7020,劉景滄,3800,7
2014,彰化縣,彰化縣第07選區,10007-07,5,10112,李浩誠,中國國民黨,2297,洪見洲,7815,6
2018,彰化縣,彰化縣第07選區,10007-07,5,8031,江熊一楓,民主進步黨,7614,吳錦潭,417,7
2014,彰化縣,彰化縣第08選區,10007-08,5,9672,陳一惇,中國國民黨,7878,林清彬,1794,8
2018,彰化縣,彰化縣第08選區,10007-08,5,8125,蔡家豪,無黨籍,7472,洪騰明,653,9
2022,新北市,新北市 三峽區・土城區・樹林區・鶯歌區,,10,15846,林銘仁,民主進步黨,15806,高乃芸,40,17
2022,新北市,新北市 三芝區・八里區・淡水區・石門區,,4,20391,陳家琪,中國國民黨,17210,彭莉惠,3181,6
2022,新北市,新北市 三重區・蘆洲區,,9,17689,顏蔚慈,民主進步黨,15242,林鼎超,2447,15
2022,新北市,新北市 中和區,,6,20301,張嘉玲,民主進步黨,16625,張志豪,3676,11
2022,新北市,新北市 五股區・林口區・泰山區,,4,21587,宋明宗,中國國民黨,20201,賴秋媚,1386,8
2022,新北市,新北市 坪林區・新店區・深坑區・烏來區…,,5,24362,陳永福,民主進步黨,15301,張凱鈞,9061,6
2022,新北市,新北市 平溪區・瑞芳區・貢寮區・雙溪區,,1,18968,林裔綺,民主進步黨,11043,蕭敬嚴,7925,2
2022,新北市,新北市 新莊區,,7,14906,陳世軒,台灣民眾黨,11436,陳科名,3470,17
2022,新北市,新北市 板橋區,,9,15049,周勝考,中國國民黨,13514,石一佑,1535,21
2022,新北市,新北市 永和區,,3,20486,許昭興,民主進步黨,17767,羅文崇,2719,5
2022,新北市,新北市 汐止區・萬里區・金山區,,4,20409,周雅玲,民主進步黨,3364,彭立信,17045,6
2014,新北市,新北市第01選區,65000-01,4,16421,蔡葉偉,中國國民黨,14919,呂子昌,1502,6
2018,新北市,新北市第01選區,65000-01,4,22096,蔡錦賢,無黨團結聯盟,15072,呂孫福,7024,7
2014,新北市,新北市第02選區,65000-02,10,20481,陳文治,民主進步黨,20466,陳明義,15,13
2018,新北市,新北市第02選區,65000-02,11,17918,何淑峯,民主進步黨,13929,唐聖捷,3989,24
2014,新北市,新北市第03選區,65000-03,9,20340,李翁月娥,無黨籍,19111,黃桂蘭,1229,19
2018,新北市,新北市第03選區,65000-03,9,22100,陳啟能,民主進步黨,18575,邱婷蔚,3525,15
2014,新北市,新北市第04選區,65000-04,9,18343,劉美芳,中國國民黨,15770,李婉鈺,2573,16
2018,新北市,新北市第04選區,65000-04,9,16532,王淑慧,民主進步黨,16244,彭盛韶,288,18
2014,新北市,新北市第05選區,65000-05,6,21678,林秀惠,民主進步黨,21159,金瑞龍,519,9
2018,新北市,新北市第05選區,65000-05,6,19457,游輝宂,無黨團結聯盟,17873,林秀惠,1584,10
2014,新北市,新北市第06選區,65000-06,4,18015,羅文崇,民主進步黨,17861,金介壽,154,7
2018,新北市,新北市第06選區,65000-06,3,21895,羅文崇,民主進步黨,20789,許昭興,1106,4
2014,新北市,新北市第07選區,65000-07,10,15855,高敏慧,民主進步黨,15771,王明麗,84,21
2018,新北市,新北市第07選區,65000-07,10,17284,高敏慧,民主進步黨,17111,王明麗,173,15
2014,新北市,新北市第08選區,65000-08,5,22880,廖筱清,民主進步黨,14112,王美月,8768,8
2018,新北市,新北市第08選區,65000-08,5,24880,陳儀君,中國國民黨,17734,曾柏瑜,7146,8
2014,新北市,新北市第09選區,65000-09,1,15984,林裔綺,民主進步黨,10684,廖秀雄,5300,6
2018,新北市,新北市第09選區,65000-09,1,22220,林裔綺,民主進步黨,12378,李仁林,9842,3
2014,新北市,新北市第10選區,65000-10,4,22992,廖正良,中國國民黨,5505,李玉蘭,17487,6
2018,新北市,新北市第10選區,65000-10,4,19028,張錦豪,民主進步黨,12024,黃智姍,7004,8
2022,新竹市,新竹市 北區,,2,5398,陳治雄,中國國民黨,4333,施淑婷,1065,3
2022,新竹市,新竹市 北區,,9,3293,鄭慶欽,無黨籍,3141,蔡文盛,152,14
2022,新竹市,新竹市 東區,,4,2968,徐美惠,中國國民黨,2220,陳鶴文,748,10
2022,新竹市,新竹市 東區,,12,3611,鍾淑英,中國國民黨,3231,張文興,380,25
2022,新竹市,新竹市 香山區,,6,4582,鄭成光,無黨籍,3518,葉國文,1064,9
2014,新竹市,新竹市第01選區,10018-01,11,3340,劉聲正,台灣團結聯盟,3329,段孝芳,11,23
2018,新竹市,新竹市第01選區,10018-01,12,3360,羅文熾,無黨籍,3314,林孝怡,46,22
2014,新竹市,新竹市第02選區,10018-02,4,3085,許文棟,無黨籍,3052,田雅芳,33,9
2018,新竹市,新竹市第02選區,10018-02,4,3728,徐信芳,中國國民黨,3315,何佳樺,413,9
2014,新竹市,新竹市第03選區,10018-03,2,4388,陳治雄,中國國民黨,3283,呂於台,1105,5
2018,新竹市,新竹市第03選區,10018-03,2,4412,陳治雄,中國國民黨,3141,熊哲良,1271,6
2014,新竹市,新竹市第04選區,10018-04,9,3262,黃美慧,無黨籍,3181,彭昆耀,81,14
2018,新竹市,新竹市第04選區,10018-04,9,3470,黃美慧,無黨籍,3221,陳清全,249,18
2014,新竹市,新竹市第05選區,10018-05,5,4158,林盈徹,民主進步黨,3945,黃彥儒,213,9
2018,新竹市,新竹市第05選區,10018-05,6,4157,鄭成光,中國國民黨,3969,林盈徹,188,14
2022,新竹縣,新竹縣 五峰鄉・竹東鎮,,6,2884,林昭錡,無黨籍,2873,馮守亮,11,17
2022,新竹縣,新竹縣 北埔鄉・峨眉鄉,,1,3944,王辰翔,中國國民黨,3804,范文鴻,140,3
2022,新竹縣,新竹縣 寶山鄉,,1,6771,邱坤桶,中國國民黨,,,,1
2022,新竹縣,新竹縣 尖石鄉・橫山鄉,,1,6659,張良印,中國國民黨,940,張永奎,5719,2
2022,新竹縣,新竹縣 新埔鎮,,2,5036,范曰富,中國國民黨,4553,林保祿,483,3
2022,新竹縣,新竹縣 新豐鄉,,3,5674,何智達,無黨籍,3943,徐勝凌,1731,4
2022,新竹縣,新竹縣 湖口鄉,,5,2619,吳菊花,中國國民黨,3958,范振龍,-1339,10
2022,新竹縣,新竹縣 竹北市,,12,3807,蔡蕥鍹,民主進步黨,3373,林增堂,434,22
2022,新竹縣,新竹縣 芎林鄉,,1,5396,鄭昱芸,無黨籍,5022,劉代洋,374,2
2022,新竹縣,新竹縣 關西鎮,,2,5015,羅仕琦,中國國民黨,3573,吳發勝,1442,3
2014,新竹縣,新竹縣第01選區,10004-01,10,3733,鄭美琴,無黨籍,3637,郭鴻德,96,15
2018,新竹縣,新竹縣第01選區,10004-01,11,2840,林增堂,中國國民黨,2823,林賢正,17,25
2014,新竹縣,新竹縣第02選區,10004-02,5,5387,張春鳳,無黨籍,4982,甄克堅,405,6
2018,新竹縣,新竹縣第02選區,10004-02,5,4085,吳淑君,中國國民黨,3135,何建樺,950,10
2014,新竹縣,新竹縣第03選區,10004-03,3,4980,鄭清漢,中國國民黨,4314,黃金樓,666,7
2018,新竹縣,新竹縣第03選區,10004-03,3,6730,吳傳地,民主進步黨,5286,鄭清漢,1444,4
2014,新竹縣,新竹縣第04選區,10004-04,2,5948,劉良彬,中國國民黨,4091,羅吉燾,1857,4
2018,新竹縣,新竹縣第04選區,10004-04,2,5211,吳發仁,無黨籍,4709,嚴永秋,502,3
2014,新竹縣,新竹縣第05選區,10004-05,2,4901,賴江海,中國國民黨,3765,楊連湧,1136,4
2018,新竹縣,新竹縣第05選區,10004-05,2,3483,陳新源,勞動黨,3477,陳英樓,6,8
2014,新竹縣,新竹縣第06選區,10004-06,1,4735,張志弘,中國國民黨,3312,温文結,1423,3
2018,新竹縣,新竹縣第06選區,10004-06,1,5472,張良印,中國國民黨,3231,詹廷有,2241,2
2014,新竹縣,新竹縣第07選區,10004-07,1,11049,林政良,中國國民黨,,,,1
2018,新竹縣,新竹縣第07選區,10004-07,1,6031,鄭昱芸,無黨籍,5871,劉展原,160,2
2014,新竹縣,新竹縣第08選區,10004-08,6,4398,郭遠彰,中國國民黨,4328,林昭錡,70,11
2018,新竹縣,新竹縣第08選區,10004-08,6,4263,彭余美玲,無黨籍,3063,林昭錡,1200,13
2014,新竹縣,新竹縣第09選區,10004-09,1,7781,邱振瑋,無黨籍,,,,1
2018,新竹縣,新竹縣第09選區,10004-09,1,4684,邱振瑋,無黨籍,2453,江紹義,2231,4
2014,新竹縣,新竹縣第10選區,10004-10,1,5274,陳正順,中國國民黨,3932,彭紹松,1342,3
2018,新竹縣,新竹縣第10選區,10004-10,1,4945,陳正順,中國國民黨,4850,范文鴻,95,2
2022,桃園市,桃園市 中壢區,,11,9647,徐景文,民主進步黨,9350,劉安祺,297,23
2022,桃園市,桃園市 八德區,,5,10874,許家睿,民主進步黨,9902,蔡永芳,972,11
2022,桃園市,桃園市 大園區,,2,14232,游吾和,民主進步黨,2941,林清松,11291,3
2022,桃園市,桃園市 大溪區・復興區,,2,18380,陳治文,民主進步黨,4084,徐慈檉,14296,3
2022,桃園市,桃園市 平鎮區,,6,10127,楊家俍,民主進步黨,5640,曾姸潔,4487,12
2022,桃園市,桃園市 新屋區,,1,13162,陳睿生,民主進步黨,12994,邱文威,168,2
2022,桃園市,桃園市 桃園區,,12,8706,黃家齊,民主進步黨,8142,李柏瑟,564,27
2022,桃園市,桃園市 楊梅區,,4,11356,李家興,無黨籍,9655,蕭立妍,1701,6
2022,桃園市,桃園市 蘆竹區,,4,12018,劉勝全,民主進步黨,11971,郭麗華,47,10
2022,桃園市,桃園市 觀音區,,2,7286,吳進昌,中國國民黨,7004,郭蔡美英,282,6
2022,桃園市,桃園市 龍潭區,,3,13282,徐玉樹,中國國民黨,12706,林昭賢,576,5
2022,桃園市,桃園市 龜山區,,4,12541,牛煦庭,無黨籍,8414,林明義,4127,9
2014,桃園市,桃園市第01選區,68000-01,11,8705,邱素芬,民主進步黨,8269,黃智銘,436,25
2018,桃園市,桃園市第01選區,68000-01,12,7559,黃家齊,民主進步黨,7370,李柏瑟,189,22
2014,桃園市,桃園市第02選區,68000-02,4,8373,李雲強,中國國民黨,6175,李麗珠,2198,7
2018,桃園市,桃園市第02選區,68000-02,4,10016,林俐玲,民主進步黨,8966,李雲強,1050,6
2014,桃園市,桃園市第03選區,68000-03,5,7117,呂淑真,中國國民黨,7005,張文瑜,112,14
2018,桃園市,桃園市第03選區,68000-03,5,12219,劉茂羣,中國國民黨,10654,段樹文,1565,10
2014,桃園市,桃園市第04選區,68000-04,4,9454,陳麗莉,中國國民黨,8954,張桂綿,500,8
2018,桃園市,桃園市第04選區,68000-04,4,11971,劉勝全,無黨籍,11403,許清順,568,7
2014,桃園市,桃園市第05選區,68000-05,2,15045,徐其萬,中國國民黨,9225,王淳長,5820,3
2018,桃園市,桃園市第05選區,68000-05,2,14519,游吾和,民主進步黨,6764,許朝童,7755,3
2014,桃園市,桃園市第06選區,68000-06,3,7264,楊朝偉,中國國民黨,3133,邱秀芬,4131,10
2018,桃園市,桃園市第06選區,68000-06,2,13718,陳治文,民主進步黨,11871,楊朝偉,1847,5
2014,桃園市,桃園市第07選區,68000-07,10,8567,葉明月,中國國民黨,8352,徐景文,215,22
